Part_Label,AugName:gaussian_noise,Model:DTmodel,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FeatureNum:4.0,FeatureNum:5.0,FeatureNum:6.0,Model:GradientBoosting,Model:XGBmodel,Norm_Order:first,Scaler:standard,FS_Method:infgain,FS_Method:noSelect,FeatureNum:7.0,FeatureNum:8.0,Norm_Order:last,Scaler:minmax,Split_Ratio:0.2,ImblName:RandomUnderSampler,ImblName:SMOTE,Model:random_forest,ImblName:ADASYN,Prob_Threshold:0.35,Random_State:2026.0,AugName:mixup,AugName:noAug,Model:sklearn_SVM,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,Model:LogisticRegression,Random_State:42.0,Random_State:7.0,Split_Ratio:0.1
Model:random_forest,0.9847175033923625,,0.991459856686938,0.9922124670847101,0.9829387413378317,0.9919905531762931,0.9879273600122789,,,0.9790642020395823,0.9895491697868408,0.9807916992500024,0.9889926823405788,0.9910289476248262,0.9889926823405788,0.9948644172295413,0.9873937253699303,0.9816177632303535,0.9953186628112676,0.9979039252090656,,0.9952677087320143,0.9960983134849536,0.9773689602241283,0.8831107755159032,0.9356625242816771,,0.7356458467810064,0.6354756257671005,0.7804908996500833,,0.9917838274383658,0.9931152675370727,0.9939325492648264
ImblName:ADASYN,0.9821918140973381,0.5467336763071251,0.975002656625379,0.9763329383900768,0.9616621777403538,0.9761729913633962,0.9689919357914651,0.9882736467407416,0.9837715968773624,0.9559557036709639,0.9714093428481477,0.9583684346647442,0.9710087550462444,0.9741816059330951,0.9710087550462444,0.9810560870854836,0.969221104591933,0.9594433737308246,,,0.9952677087320143,,0.9998983904892269,0.9537161277379218,0.8415873043387024,0.9073927146627714,0.9501795254709083,,,0.7175749939930229,0.9930634810128764,0.9756090187728534,0.9781623531085242,0.9795298336296634
Prob_Threshold:0.35,0.9820512074470823,0.5570159559313014,0.9774866962552692,0.9787547914939955,0.9648200832649101,0.9786431505619319,0.9717250538284804,0.9898681454772736,0.9856461977348692,0.9593439555132934,0.9739131909368287,0.9616244113462354,0.9737241574973402,0.9766871426543559,0.9737241574973402,0.9831711291361278,0.9721427074831182,0.9626310411197128,0.9983436221316306,0.9961378744846474,0.9960983134849536,0.9998983904892269,,0.9572186031002252,0.84811864469193,0.912436298746786,0.9535913559264458,0.6758875090488553,0.567687661917117,,0.9942747120757364,0.9780535588221828,0.9803916394985323,0.9817940617496914
Random_State:2026.0,0.9501532582368183,0.7724542750620047,0.9965971505605246,0.9960430529193467,0.9994665871078011,0.9962251800413222,0.9980164043053003,0.9881833656093153,0.9917356073449245,0.999907440297996,0.9966670994176366,0.9994366067128504,0.9978352748064799,0.9966682683880872,0.9978352748064799,0.993529195029924,0.9983150384743689,0.999571146905043,0.963018831424191,0.9759762142204598,0.9773689602241283,0.9537161277379218,0.9572186031002252,,0.957022764035733,0.9795648761955389,0.9980034173519107,0.8585335908212423,0.7743369473833827,0.8930151073994619,0.978641523412498,,,0.9945976658730823
AugName:mixup,,0.8979483772777727,0.9328761581595594,0.9302193988014407,0.9471484297810546,0.9322018758098961,0.9372611652150775,0.9088554570632097,0.9196738572842655,0.9532445697126705,0.9304600004289716,0.9476360530340632,0.9374723083653752,0.9316585139959168,0.9374723083653752,0.9208724641826422,0.9434145782311707,0.9482993809579529,0.868002804155047,0.8907675902006019,0.8831107755159032,0.8415873043387024,0.84811864469193,0.957022764035733,,,0.9460026722731745,0.9244593272840544,0.847665323971332,0.9507274428994598,0.8818205457018446,0.9333143572183098,0.9192686881962162,0.9253533071081473
AugName:noAug,,0.8232037942484032,0.9671784754400561,0.9654056233678705,0.9736707032095923,0.9673553148344352,0.9678025361322161,0.9533594540246428,0.9603964630651556,0.9768043952958884,0.9625348031493621,0.9724217278711335,0.9692819676814456,0.9654156854389713,0.9692819676814456,0.9593879280100704,0.9744967001217801,0.9735541662536885,0.9294214893142813,0.9448215681335529,0.9356625242816771,0.9073927146627714,0.912436298746786,0.9795648761955389,,,0.9670241888408789,0.8682353817929377,0.7742376239376364,0.9042320021051421,0.9328896064181132,0.9680613709820849,0.9560640209491958,0.9627918972768951
Model:sklearn_SVM,0.958166793291817,,0.9947558656659912,0.9944179708785934,0.9983514030667024,0.9940406397725883,0.9973253339145992,,,0.9985723912866282,0.9968565296733344,0.9991360449886418,0.9963302260729566,0.9955785706085604,0.9963302260729566,0.9922763490304771,0.9955085340789767,0.9987487279058259,0.9565377091520111,0.9702238397031249,,0.9501795254709083,0.9535913559264458,0.9980034173519107,0.9460026722731745,0.9670241888408789,,0.8654460121743802,0.788737342117995,0.8971061705499491,,0.9940395047823488,0.9941629301144446,0.9928695244022325
ImblName:TomekLinks,0.706430568931711,0.974603829970418,0.8157104829283254,0.8124146489241244,0.8454029826385616,0.8122067114545427,0.8307817162119833,0.7726954153194251,0.788468237053699,0.8556104478950906,0.8250847098172104,0.8519748539475626,0.825624380786992,0.8183058950421827,0.825624380786992,0.7991385494289224,0.8274294797866848,0.8499943439070254,,,0.7356458467810064,,0.6758875090488553,0.8585335908212423,0.9244593272840544,0.8682353817929377,0.8654460121743802,,,0.9969588686200578,0.7440468890581626,0.8135368519305389,0.8067056768354014,0.8033817603987018
ImblName:noImbl,0.6228041043588077,0.9626963780878501,0.7252267309428825,0.7218038447879834,0.7603584009771649,0.7206583609948666,0.7442880604620993,0.6758176318453294,0.6930337813433036,0.7719084622777442,0.7393012752621523,0.7692921066379611,0.737035683571259,0.7293715538827648,0.737035683571259,0.7073961607384687,0.7369908851035758,0.7662304552234879,,,0.6354756257671005,,0.567687661917117,0.7743369473833827,0.847665323971332,0.7742376239376364,0.788737342117995,,,0.9701379792225113,0.6478329237454397,0.7220035146587557,0.7186390827735505,0.711360490883611
Prob_Threshold:0.5,0.7461928963779048,0.9677726048772394,0.8542773057194598,0.8511798362727062,0.88084495917089,0.851293947975647,0.8673583887519098,0.8151104981478267,0.8297438040611494,0.8900923734682952,0.861650202805698,0.886319200326699,0.8631459297524372,0.8562576827500534,0.8631459297524372,0.8388378270204991,0.8654942586302131,0.8847651340606433,0.7391059736829758,0.7738010010565383,0.7804908996500833,0.7175749939930229,,0.8930151073994619,0.9507274428994598,0.9042320021051421,0.8971061705499491,0.9969588686200578,0.9701379792225113,,0.7874318350044006,0.8525258728360438,0.844883297447825,0.8430117481403524
