Part_Label,AugName:gaussian_noise,Model:DTmodel,AugName:mixup,AugName:noAug,Model:sklearn_SVM,ImblName:ADASYN,Prob_Threshold:0.35,Split_Ratio:0.2,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,Model:GradientBoosting,Model:XGBmodel,Split_Ratio:0.1,Model:LogisticRegression,ImblName:RandomUnderSampler,ImblName:SMOTE,Model:random_forest,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FS_Method:infgain,FS_Method:noSelect,FeatureNum:4.0,FeatureNum:5.0,FeatureNum:6.0,FeatureNum:7.0,FeatureNum:8.0,Norm_Order:first,Norm_Order:last,Scaler:minmax,Scaler:standard
FS_Method:noSelect,0.965090326985398,0.7195429567844752,0.9509185152072416,0.9708353386099104,0.9997578343743108,0.9606825290086709,0.9699407932516978,0.9998792544542837,0.8397589998553144,0.7335214971416121,0.8828707437541075,0.9940439914516018,0.9961413542889948,0.9988714349661205,0.9816172053832295,0.9788855298449182,0.9795771200771869,0.990516844004882,,,,,0.9996654331615594,0.998967985455918,0.9990908852763789,0.9990172082083553,1.0,0.9998527167828927,0.998329330306263,0.9958692445408133,0.9984979994515797
FeatureNum:4.0,0.9590143083747533,0.7370696149473831,0.9572907493795382,0.9744500990006971,0.999912840810695,0.953510687198903,0.9636731761836308,0.9992587550380699,0.852540705096462,0.7484129955306047,0.8941169631298902,0.9910042390036102,0.9936282807079306,0.9976149783979326,0.9765450773302428,0.9743772197378033,0.9747885389352667,0.9867538171624146,0.9972753769913002,0.9967117140648946,0.9999482156753807,0.9996654331615594,,,,,,0.99986144096086,0.9965458508754069,0.9940779067167992,0.9985040024248446
FeatureNum:5.0,0.9708402606319442,0.6887604814979643,0.9422172841254506,0.9669591681009079,0.9980009179330762,0.9721546110224688,0.9798762010622305,0.9991954701298501,0.8143737879817782,0.7020026672216039,0.86095564653996,0.9977971066781055,0.9988927382104711,0.999876337191986,0.9888044425437956,0.986953606451371,0.9876619521822606,0.9955885515371825,0.9999800750838613,0.9999298548966316,0.9973572165266801,0.998967985455918,,,,,,0.9984663869746316,0.9998617445824818,0.9985530714421016,0.9958794961276872
FeatureNum:6.0,0.9714655585403431,0.6898813664986784,0.9417177923600089,0.9662296522149695,0.9981033598961223,0.9716161213595896,0.9793771548437523,0.9993353018454589,0.8159814833887107,0.7045067083678973,0.8622037902954944,0.9977256715391806,0.9988854374020014,0.9998147277288922,0.9885621969644115,0.9862231147142007,0.987065028460189,0.9954431403515955,0.9999513771732139,0.9998910424171578,0.9975398335325658,0.9990908852763789,,,,,,0.998546362968885,0.9998667567474416,0.9982186746429913,0.9963289459699248
FeatureNum:7.0,0.9712017692728566,0.6890105101332465,0.9418953476057547,0.9665392804630383,0.9980151382172588,0.971958144137438,0.9796659363447585,0.999244154194717,0.8150647743650007,0.7031239657969123,0.8614789621233656,0.9978283298313527,0.9989507237556198,0.9998592139579742,0.988680311425613,0.9865827536344245,0.9873902685020908,0.9955833516755711,0.9999754944500749,0.9999210166974676,0.9974154448385304,0.9990172082083553,,,,,,0.9984911212247914,0.9998703488252192,0.9983682873852368,0.9961149999844571
FeatureNum:8.0,0.965090326985398,0.7195429567844752,0.9509185152072416,0.9708353386099104,0.9997578343743108,0.9606825290086709,0.9699407932516978,0.9998792544542837,0.8397589998553144,0.7335214971416121,0.8828707437541075,0.9940439914516018,0.9961413542889948,0.9988714349661205,0.9816172053832295,0.9788855298449182,0.9795771200771869,0.990516844004882,0.9987589130932213,0.9983889169569219,0.9996142219850238,1.0,,,,,,0.9998527167828927,0.998329330306263,0.9958692445408133,0.9984979994515797
Norm_Order:first,0.9604950258842901,0.7277283385990689,0.9560554713875032,0.9747157697584429,0.999847533986236,0.9577586698243884,0.9673934140574042,0.9994864925517922,0.844677857747991,0.7379301347047516,0.8875674720613571,0.9928379097766771,0.995130521217726,0.9985887350015286,0.9791696729608103,0.9777460948260822,0.978126995552897,0.9889925507899737,0.9982562883768743,0.9977846816124062,0.9996994588090763,0.9998527167828927,0.99986144096086,0.9984663869746316,0.998546362968885,0.9984911212247914,0.9998527167828927,,,0.9956610943483146,0.9980188305695792
Norm_Order:last,0.9745359834483598,0.6784346325555219,0.9365359557696845,0.9627705705639672,0.9970779647004847,0.9750867648243661,0.9823243311821206,0.9987864884237255,0.8072504423069965,0.6947380533575869,0.8543367218589559,0.9985418220881791,0.999375681006491,0.9995653630085112,0.9908635114938207,0.9880424227864433,0.9890241361143682,0.9967249740735665,0.9998678051375055,0.9999324056527252,0.9963963108589691,0.998329330306263,0.9965458508754069,0.9998617445824818,0.9998667567474416,0.9998703488252192,0.998329330306263,,,0.9983339597684662,0.9953660566152327
Scaler:minmax,0.9650492973522315,0.6708461790637815,0.9428617992119961,0.9704551725909554,0.994736127332181,0.9774989713331106,0.984394895719935,0.9959779045612209,0.7939759910323585,0.6729298537248631,0.844232053338989,0.9976649225829929,0.9980079909417092,0.9988572116637756,0.9903516785891067,0.9928288553331448,0.9926053927940711,0.996331597095675,0.9987106876137364,0.9988084154265261,0.9934114915153928,0.9958692445408133,0.9940779067167992,0.9985530714421016,0.9982186746429913,0.9983682873852368,0.9958692445408133,0.9956610943483146,0.9983339597684662,,
Scaler:standard,0.967062116158289,0.7327646671968908,0.945179459633287,0.9623298565814838,0.9983560096223523,0.9513767310409769,0.9613302957858874,0.9985186060712301,0.8555204375558615,0.7584762509537533,0.8948056224667045,0.9898297366005125,0.9926393576894765,0.9953436011290239,0.9758559480756631,0.9686493584358029,0.9703472456965057,0.9854851328804362,0.9955062674513533,0.9950037904249989,0.9989066191233803,0.9984979994515797,0.9985040024248446,0.9958794961276872,0.9963289459699248,0.9961149999844571,0.9984979994515797,0.9980188305695792,0.9953660566152327,,
