Part_Label,AugName:gaussian_noise,Model:DTmodel,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,AugName:mixup,AugName:noAug,Model:sklearn_SVM,Model:LogisticRegression,FeatureNum:4.0,FeatureNum:5.0,Norm_Order:first,Scaler:standard,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FS_Method:infgain,FeatureNum:6.0,Model:XGBmodel,Random_State:7.0,Split_Ratio:0.1,Split_Ratio:0.2,ImblName:ADASYN,Prob_Threshold:0.35,ImblName:RandomUnderSampler,ImblName:SMOTE,FS_Method:noSelect,FeatureNum:7.0,FeatureNum:8.0,Model:GradientBoosting,Model:random_forest,Norm_Order:last,Scaler:minmax
FeatureNum:5.0,0.9713774568493824,0.682935490927486,0.8103536090955694,0.7426361411312866,0.8553372805668852,0.922349294829346,0.9632005394519224,0.9854401175336436,0.9915875732857374,,,0.9960286697855992,0.9990099672350271,0.9997749751850952,0.9997853541525175,0.9972662518998963,,0.9985248904982085,0.9994478189366823,0.9991335038891488,0.9988793811937483,0.9839784356113859,0.9833983407447904,0.9833345110194289,0.9934521162192518,0.9999754025520999,,,0.9978523639310596,0.9935602791630652,0.9995243465066697,0.9979892862776862
Norm_Order:first,0.9557351913038259,0.7427906302190612,0.8590283955285171,0.7979064551903896,0.8979154513479484,0.946639574806508,0.9736789864423554,0.9943674306353083,0.978627823890863,0.9987851827009929,0.9960286697855992,,0.9953677479400115,0.9974293583620049,0.9966492992138274,0.9997650996359274,0.9994028852582667,0.9900911064284083,0.9982022516955378,0.9966948177469831,0.9989199310805994,0.9643570070907505,0.9634868131149423,0.9635920989819635,0.979805441083098,0.9964709345259202,0.9973887999784685,0.9964709345259202,0.9881880329785584,0.9798353697473987,,0.9993442454621659
Scaler:standard,0.9784946651148722,0.6764585082301369,0.8135869572783065,0.7505714528902256,0.8565557607328265,0.912958683172598,0.9534348349394799,0.9888906577769434,0.9929524222073789,0.9983717521691023,0.9990099672350271,0.9953677479400115,,0.9992801136664978,0.9996444785673156,0.9971208758722728,0.9974893728424447,0.9971549091280174,0.9991438824195867,0.9998528788966596,0.9974736158821195,0.9833083541169877,0.9824662351247484,0.9803074495040162,0.9905495824357917,0.9991792551811706,0.9996441255897746,0.9991792551811706,0.9972343411105736,0.9932978661126904,0.9995258711240709,
FS_Method:biMaxInfgain,0.9704156132146743,0.6940615944283738,0.8214265776865926,0.7559103379566094,0.8648094496335691,0.9260610520536418,0.9640553873951665,0.9886314122408844,0.9898586781611657,0.9996655504114388,0.9997749751850952,0.9974293583620049,0.9992801136664978,,,,0.9982813161871164,0.9974392070639655,0.9999021588051638,0.9995438648749431,0.999380673943626,0.980677799770036,0.9799564098965781,0.9794648071351838,0.9909015831114018,,0.9998763354940181,0.9998727977060544,0.9966001065894639,0.9916316115302273,0.9991699242755236,0.9986424242686924
FS_Method:biMeanInfgain,0.9735548340782358,0.6857889879993166,0.8163513209705943,0.7511541769291998,0.8599872409968069,0.9209892450944899,0.9605294283391952,0.9882272789921551,0.9916519762732356,0.9993646650201746,0.9997853541525175,0.9966492992138274,0.9996444785673156,,,,0.9978839965256702,0.997719047534398,0.9997594872014274,0.999777033574346,0.9988333525025305,0.9825318207614613,0.9818283512345157,0.9809136053134484,0.9915897701642111,,0.9999155408480618,0.9998865093818373,0.9972843227792063,0.9927605226709172,0.999571508209629,0.9979503700959659
FS_Method:infgain,0.9618415799672078,0.7292766874081601,0.8507650233857967,0.7897435356806826,0.8902987160202604,0.9394689448241813,0.9692632971255924,0.9944380914592944,0.9825950224776716,0.9994004704369084,0.9972662518998963,0.9997650996359274,0.9971208758722728,,,,0.9998100502422159,0.9919908331165643,0.9991078638665992,0.9981714489187703,0.9992097350501093,0.9688309949944588,0.9679707646491531,0.9674345319903928,0.9823912248126746,,0.9985972860594424,0.9976845973742101,0.9906451413017893,0.9831448336436,0.9957071881710141,0.9993293471068811
FeatureNum:6.0,0.9643915577013231,0.7265696611871199,0.8518172501104927,0.7924501328363767,0.8906222785339212,0.9359925643319887,0.9656036446096461,0.995495727087872,0.9827548956263757,,,0.9994028852582667,0.9974893728424447,0.9982813161871164,0.9978839965256702,0.9998100502422159,,0.9916654028793752,0.9989352526774369,0.9983528718444048,0.9986559864166051,0.9686092418568218,0.9675991476760405,0.966229516819566,0.9813331701341728,0.9973320767811501,,,0.9904676183917961,0.9832351446290767,0.995696846263924,0.9985704755052911
Model:XGBmodel,0.9749140896245612,,0.7805636628132473,0.7086666216290087,0.8289839032716325,0.9074063795443919,0.9554465158739227,,,0.9955670653965031,0.9985248904982085,0.9900911064284083,0.9971549091280174,0.9974392070639655,0.997719047534398,0.9919908331165643,0.9916654028793752,,0.9963632109371451,0.9964768153631278,0.9953367038639779,0.9910197632267373,0.99051606828258,0.9905468338275748,0.9975807271000474,0.9981739523052618,0.9968380717468085,0.9981739523052618,,,0.9988827863274978,0.9935777375428737
Random_State:7.0,0.9693261309612313,0.7015572756494836,0.8282565190434762,0.7640395010621511,0.8706782853199831,0.9285829943870032,0.9648066747043487,0.990461588199234,0.988778894191529,0.9998693332471057,0.9994478189366823,0.9982022516955378,0.9991438824195867,0.9999021588051638,0.9997594872014274,0.9991078638665992,0.9989352526774369,0.9963632109371451,,0.999594335511561,0.9995294443547775,0.9783240807954088,0.9775758250129688,0.9769579028815745,0.9891272483693777,0.99963630923504,0.9998918728256931,0.99963630923504,0.9955168297592586,0.989969260959916,0.9986915000988341,0.998993825033677
Split_Ratio:0.1,0.9757399089748454,0.6869348073087973,0.8209364682016729,0.7582668479218108,0.8632967359218208,0.9184242312863209,0.956959965656805,0.9904529017986713,0.9916645996581256,0.9990762473107138,0.9991335038891488,0.9966948177469831,0.9998528788966596,0.9995438648749431,0.999777033574346,0.9981714489187703,0.9983528718444048,0.9964768153631278,0.999594335511561,,,0.9809897095010428,0.9801883991386685,0.9784075414682214,0.989456029446716,0.9993617390825379,0.9998838045047178,0.9993617390825379,0.9963776551675101,0.9916638615631711,0.9992270718868302,0.997380584652662
