Part_Label,AugName:gaussian_noise,Model:DTmodel,ImblName:TomekLinks,ImblName:noImbl,Prob_Threshold:0.5,AugName:mixup,AugName:noAug,Model:sklearn_SVM,Random_State:126.0,Model:LogisticRegression,ImblName:ADASYN,ImblName:RandomUnderSampler,Prob_Threshold:0.35,Random_State:23.0,FS_Method:biMaxInfgain,FS_Method:biMeanInfgain,FS_Method:infgain,FeatureNum:4.0,FeatureNum:5.0,FeatureNum:6.0,Model:GradientBoosting,Model:XGBmodel,Norm_Order:first,Scaler:standard,Split_Ratio:0.1,ImblName:SMOTE,Model:random_forest,FS_Method:noSelect,FeatureNum:7.0,FeatureNum:8.0,Norm_Order:last,Random_State:5012.0,Scaler:minmax,Split_Ratio:0.2
Model:GradientBoosting,0.9764584328814044,,0.7596974026641901,0.6744848755634711,0.8073065193319485,0.9026309035323095,0.9571229543675052,,0.999680505134296,,0.9840333628487351,0.9869380438989064,0.9849505925852735,0.9972344571600124,0.9978478486526143,0.9979338359922781,0.9934497935313982,0.9950394476621458,0.998682285627171,0.9943192700902034,,,0.9899594728811857,0.9997560815913334,0.9978571825399083,0.9947548743857789,,0.9968420513405086,0.9974415636730926,0.9968420513405086,0.9993501310170789,0.9878407195259535,0.9874079320353804,0.9952922098530309
Model:XGBmodel,0.9730686963502342,,0.7774076651608048,0.6941560298078245,0.823415115269779,0.9131151031296975,0.9625588445532905,,0.99980856590657,,0.9787771695830901,0.9824647899124029,0.979846550117657,0.9988673385177556,0.999282619836072,0.9993203390486263,0.9961546367866232,0.9973952201015915,0.999672399942083,0.9968168348288701,,,0.9935282299848807,0.9996657083061111,0.9992058537795543,0.9919833255043129,,0.9985162638876688,0.998974773838268,0.9985162638876688,0.9996591451845047,0.9917494639812862,0.991442680037276,0.9976014900916517
Norm_Order:first,0.9513878197651277,0.7511682234765099,0.842470590866034,0.7676658422635334,0.8817276437772439,0.9483327320530824,0.9770856069985031,0.9962610226952393,0.9923353341487813,0.9635584944738642,0.9497683657681699,0.9567007915459412,0.951459852794279,0.9975057865669561,0.9970716778844309,0.9969222300075876,0.999111093014066,0.9989805846553182,0.9956941071370013,0.9988890414513271,0.9899594728811857,0.9935282299848807,,0.9912953004006869,0.996640926012958,0.9729543339861094,0.983435392346492,0.9972596827242668,0.9971290695877332,0.9972596827242668,,0.999532646118708,0.9998019241548644,0.9989529599167105
Scaler:standard,0.9777840917605001,0.6588727643362884,0.7663395892021807,0.6832135114364114,0.813152157297171,0.9038502495757336,0.956614666688471,0.9891102909439128,0.9999463963869785,0.989305646583938,0.9825186365901026,0.9851047486260437,0.983414349751577,0.9980598004070947,0.9984144294581356,0.9985508418870268,0.9949177471015632,0.9960815575435323,0.9990973039791565,0.995588384661516,0.9997560815913334,0.9996657083061111,0.9912953004006869,,0.9986574032949938,0.9933786270067807,0.998279732158709,0.9978858807596902,0.9982461712994951,0.9978858807596902,0.9998557480627104,0.9894984523995898,,0.9962778514174858
Split_Ratio:0.1,0.9712649770992089,0.6946387744934425,0.7985561348950044,0.7197277283628915,0.8421549780288975,0.9211446523801656,0.9643900437312314,0.9947300753383074,0.9989685378750602,0.9819482124666745,0.9715849346865351,0.9752817598847842,0.9727155291994688,0.9998209978888508,0.9998391520941751,0.9998897659009216,0.9987822674097527,0.9991455340920862,0.9996504204399527,0.9991065402870897,0.9978571825399083,0.9992058537795543,0.996640926012958,0.9986574032949938,,0.9867497564198119,0.994355181497654,0.9998809189650687,0.9999600837065012,0.9998809189650687,0.9992956811711109,0.995647182760913,0.9953084307036674,
ImblName:SMOTE,0.9720374291460347,0.5955579554122622,,,0.7497694810294498,0.873533454693834,0.9445334665385254,0.965863420520779,0.9929522301336929,0.9906139136811704,,,0.9953519363426201,0.9861733678390123,0.987247420656235,0.9874203129746255,0.9779157651796442,0.9820208938771149,0.9898726921064799,0.9791915467172262,0.9947548743857789,0.9919833255043129,0.9729543339861094,0.9933786270067807,0.9867497564198119,,0.9972245222902096,0.9842462374276297,0.9855472143186279,0.9842462374276297,0.9912964616776283,0.96826252943996,0.9684640080100022,0.98192759199004
Model:random_forest,0.9789081109622539,,0.7337750168391911,0.6454983681246675,0.7835792946304646,0.8874220245998208,0.9488112198867749,,0.9979069229292615,,0.9897489950969629,0.9916969644501801,0.9904683085481544,0.9933212833370841,0.9943250172009249,0.9944449024133312,0.9879612494567843,0.9901187307392955,0.9957533609210047,0.9892047344838547,,,0.983435392346492,0.998279732158709,0.994355181497654,0.9972245222902096,,0.9928435169293813,0.9937287718705162,0.9928435169293813,0.9972741612865939,0.9808250328277894,0.9801878582443878,0.9904889756974405
FS_Method:noSelect,0.9708722736266294,0.7007974549229617,0.8059749928699135,0.7291529986814087,0.8485538495121261,0.9228600924134682,0.9637948979992108,0.9961570904450069,0.9982230379993274,0.9804524036650888,0.9685956795379028,0.9720405025794218,0.9697121418194834,0.9996741987639636,,,,0.9992489079106053,0.9991501463829646,0.9995521349885959,0.9968420513405086,0.9985162638876688,0.9972596827242668,0.9978858807596902,0.9998809189650687,0.9842462374276297,0.9928435169293813,,0.9999363460068256,1.0,0.9987833189015958,0.9966796111961198,0.996230433013034,0.9994643914278063
FeatureNum:7.0,0.9702647448098083,0.6992008871223185,0.8029567455603568,0.7248084342525812,0.8460360357863107,0.9231989084716172,0.9650523311361093,0.9952455039938205,0.9985923120089274,0.9805906776992254,0.9698240764902913,0.9735839761125976,0.9709732247219736,0.9997900866611138,0.9998139270602387,0.9998425486629215,0.9990575345008597,,,,0.9974415636730926,0.998974773838268,0.9971290695877332,0.9982461712994951,0.9999600837065012,0.9855472143186279,0.9937287718705162,0.9999363460068256,,,0.9989952227558679,0.9963106195788937,0.9959265502443454,0.9994911883222853
FeatureNum:8.0,0.9708722736266294,0.7007974549229617,0.8059749928699135,0.7291529986814087,0.8485538495121261,0.9228600924134682,0.9637948979992108,0.9961570904450069,0.9982230379993274,0.9804524036650888,0.9685956795379028,0.9720405025794218,0.9697121418194834,0.9996741987639636,0.9995837930334429,0.9996391586413598,0.9993097307004823,,,,0.9968420513405086,0.9985162638876688,0.9972596827242668,0.9978858807596902,0.9998809189650687,0.9842462374276297,0.9928435169293813,1.0,,,0.9987833189015958,0.9966796111961198,0.996230433013034,0.9994643914278063
